pclass,sex,age,sibsp,parch,fare,survived
3,male,22.0,1,0,7.25,0
1,female,38.0,1,0,71.2833,1
3,female,26.0,0,0,7.925,1
1,female,35.0,1,0,53.1,1
3,male,35.0,0,0,8.05,0
1,male,54.0,0,0,51.8625,0
3,male,2.0,3,1,21.075,0
3,female,27.0,0,2,11.1333,1
2,female,14.0,1,0,30.0708,1
3,female,4.0,1,1,16.7,1
1,female,58.0,0,0,26.55,1
3,male,20.0,0,0,8.05,0
3,male,39.0,1,5,31.275,0
3,female,14.0,0,0,7.8542,0
2,female,55.0,0,0,16.0,1
3,male,2.0,4,1,29.125,0
3,female,31.0,1,0,18.0,0
2,male,35.0,0,0,26.0,0
2,male,34.0,0,0,13.0,1
3,female,15.0,0,0,8.0292,1
1,male,28.0,0,0,35.5,1
3,female,8.0,3,1,21.075,0
3,female,38.0,1,5,31.3875,1
1,male,19.0,3,2,263.0,0
1,male,40.0,0,0,27.7208,0
2,male,66.0,0,0,10.5,0
1,male,28.0,1,0,82.1708,0
1,male,42.0,1,0,52.0,0
3,male,21.0,0,0,8.05,0
3,female,18.0,2,0,18.0,0
3,female,14.0,1,0,11.2417,1
3,female,40.0,1,0,9.475,0
2,female,27.0,1,0,21.0,0
2,female,3.0,1,2,41.5792,1
3,female,19.0,0,0,7.8792,1
3,female,18.0,1,0,17.8,0
3,male,7.0,4,1,39.6875,0
3,male,21.0,0,0,7.8,0
1,female,49.0,1,0,76.7292,1
2,female,29.0,1,0,26.0,1
1,male,65.0,0,1,61.9792,0
2,female,21.0,0,0,10.5,1
3,male,28.5,0,0,7.2292,0
2,female,5.0,1,2,27.75,1
3,male,11.0,5,2,46.9,0
3,male,22.0,0,0,7.2292,0
1,female,38.0,0,0,80.0,1
1,male,45.0,1,0,83.475,0
3,male,4.0,3,2,27.9,0
2,female,29.0,0,0,10.5,1
3,male,19.0,0,0,8.1583,0
3,female,17.0,4,2,7.925,1
3,male,26.0,2,0,8.6625,0
2,male,32.0,0,0,10.5,0
3,female,16.0,5,2,46.9,0
2,male,21.0,0,0,73.5,0
3,male,26.0,1,0,14.4542,0
3,male,32.0,0,0,56.4958,1
3,male,25.0,0,0,7.65,0
2,male,0.83,0,2,29.0,1
3,female,30.0,0,0,12.475,1
3,male,22.0,0,0,9.0,0
3,male,29.0,0,0,9.5,1
1,male,28.0,0,0,47.1,0
2,female,17.0,0,0,10.5,1
3,female,33.0,3,0,15.85,1
3,male,16.0,1,3,34.375,0
1,female,23.0,3,2,263.0,1
3,male,24.0,0,0,8.05,0
3,male,29.0,0,0,8.05,0
3,male,20.0,0,0,7.8542,0
1,male,46.0,1,0,61.175,0
3,male,26.0,1,2,20.575,0
3,male,59.0,0,0,7.25,0
1,male,71.0,0,0,34.6542,0
1,male,23.0,0,1,63.3583,1
2,female,34.0,0,1,23.0,1
2,male,34.0,1,0,26.0,0
3,female,28.0,0,0,7.8958,0
1,male,21.0,0,1,77.2875,0
3,male,33.0,0,0,8.6542,0
3,male,37.0,2,0,7.925,0
3,male,28.0,0,0,7.8958,0
3,female,21.0,0,0,7.65,1
3,male,38.0,0,0,7.8958,0
1,male,47.0,0,0,52.0,0
3,female,14.5,1,0,14.4542,0
3,male,22.0,0,0,8.05,0
3,female,20.0,1,0,9.825,0
3,female,17.0,0,0,14.4583,0
3,male,21.0,0,0,7.925,0
3,male,70.5,0,0,7.75,0
2,male,29.0,1,0,21.0,0
1,male,24.0,0,1,247.5208,0
3,female,2.0,4,2,31.275,0
2,male,21.0,2,0,73.5,0
2,male,32.5,1,0,30.0708,0
2,female,32.5,0,0,13.0,1
1,male,54.0,0,1,77.2875,0
3,male,12.0,1,0,11.2417,1
3,male,24.0,0,0,7.1417,1
3,male,45.0,0,0,6.975,0
3,male,33.0,0,0,7.8958,0
3,male,20.0,0,0,7.05,0
3,female,47.0,1,0,14.5,0
2,female,29.0,1,0,26.0,1
2,male,25.0,0,0,13.0,0
2,male,23.0,0,0,15.0458,0
1,female,19.0,0,2,26.2833,1
1,male,37.0,1,0,53.1,0
3,male,16.0,0,0,9.2167,0
1,male,24.0,0,0,79.2,0
3,female,22.0,0,0,7.75,1
